588,"I-20/I-59, EXIT 77",Cottondale,AL,
591,"I-70, EXIT 58 & SR-23",Concordia,MO,
599,"I-80, EXIT 59 & SR-17J",Sidney,NE,
602,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,
614,"I-84, EXIT 5",Montgomery,NY,
628,"I-90,  EXIT 218",Geneva,OH,
636,"I-5, EXIT 233 E",Albany,OR,
651,"I-40, EXIT 126 & US-641",Holladay,TN,
652,"I-40 & I-75, EXIT 374",Knoxville,TN,
669,"I-10,  EXIT 4",Canutillo,TX,
672,"I-295/US-130,EXIT 22",Thorofare,NJ,
680,"I-29, EXIT 207 & US-12",Summit,SD,
684,"I-86/SR-17, EXIT 16",Randolph,NY,
689,"I-235, EXIT 4",Wichita,KS,
692,US-63,Ottumwa,IA,
739,US-23,Greenup,KY,
748,US-85,Evans,CO,
769,US-61/US-136,Alexandria,MO,
815,"US-18/SR-151, EXIT 58",Barneveld,WI,
855,US-41 & SR-137,North Chicago,IL,
863,US-301/SR-73,Sylvania,GA,
906,"I-40, EXIT 280",West Memphis,AR,
908,"I-65, EXIT 246 & SR-119",Pelham,AL,
912,"I-20/59,  EXIT 100",Mc Calla,AL,
936,"I-40, EXIT 129",Conway,AR,
970,"I-17/SR-60, EXIT 199A",Phoenix,AZ,
977,"I-10, EXIT 17",Quartzsite,AZ,
981,"I-15, EXIT 93",Blackfoot,ID,
982,"I-8, EXIT 7 & SR-195",Yuma,AZ,
1028,"I-495, EXIT 4 & SR-9",New Castle,DE,
1042,US-441 & SR-100A,Lake City,FL,
1043,I-75 EXIT 414  & US-41,Lake City,FL,
1047,"I-10/SR-8, EXIT 142 & SR-71",Marianna,FL,
1075,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,
1106,"I-20, EXIT 172",Thomson,GA,
1112,US-59/SR-141,Denison,IA,
1115,SR-57/SR-14,Parkersburg,IA,
1121,"I-84, EXIT 182",Eden,ID,
1128,"I-94/US-41, EXIT 1",Wadsworth,IL,
1132,"I-57, EXIT 83",Ina,IL,
1136,"I-74, EXIT 206",Oakwood,IL,
1140,"I-55, EXIT 82 & SR-104",Divernon,IL,
1149,"I-70, EXIT 96",Greenfield,IN,
1151,"I-70, EXIT 115 & SR-109",Knightstown,IN,
1154,SR-71 & CR-214,Cedar Creek,TX,
1156,"I-74/US-421, EXIT 116 & SR-44",Shelbyville,IN,
1157,"I-70, EXIT 11 & SR-46",Terre Haute,IN,
1158,US-30  & SR-49,Valparaiso,IN,
1163,US-54,Emporia,KS,
1176,"I-75, EXIT 129",Georgetown,KY,
1179,"I-65, EXIT 105",Lebanon Junction,KY,
1196,US-61 & SR-964,Saint Francisville,LA,
1199,"I-190, EXIT 7",Leominster,MA,
1202,"I-95, EXIT 93 & SR-222",Perryville,MD,
1204,"I-70 & I-57, EXIT 159",Effingham,IL,
1208,US-131,Kalamazoo,MI,
1210,"I-94, EXIT 56 & SR-51",Paw Paw,MI,
1217,"I-90, EXIT 179",Austin,MN,
1218,SR-210,Pillager,MN,
1225,US-61 & US-61 BUS,Bowling Green,MO,
1234,US-71 & US-160,Lamar,MO,
1236,US-36 & US-24,Palmyra,MO,
1240,US-65,Sedalia,MO,
1247,US-63 & SR-14,West Plains,MO,
1251,US-72,Corinth,MS,
1256,US-82/US-278,Greenville,MS,
1265,US-78 & RED BANKS RD S,Red Banks,MS,
1304,"I-85, EXIT 152",Mebane,NC,
1315,US-421 BUS & US-15/US-501/US-1,Sanford,NC,
1325,US-421 & US-74,Wilmington,NC,
1326,US-301/US-264 ALT & CR-1674,Wilson,NC,
1333,US-30,Grand Island,NE,
1340,"NJ TNPK, EXIT 7 & US-206",Bordentown,NJ,
1342,"I-80, EXIT 47B",Fairfield,NJ,
1344,US-202 & SR-17,Mahwah,NJ,
1348,SR-73,Palmyra,NJ,
